"subject" "age" "gender" "order" "block" "trial_num" "condition" "compatibility" "target" "cue_nocue" "button_pressed" "rt" "ac"
1 24 2 1 3 53 3 4 2 2 1 1002 1
1 24 2 1 3 54 3 4 2 2 1 590 1
1 24 2 1 3 55 1 2 1 2 2 713 1
1 24 2 1 3 56 1 1 2 2 1 1120 1
1 24 2 1 3 57 1 1 2 2 1 631 1
1 24 2 1 3 58 3 4 2 2 1 497 1
1 24 2 1 3 59 3 4 2 2 1 481 1
1 24 2 1 3 60 1 1 2 2 1 689 1
10 31 1 2 0 1 3 4 1 1 1 1229 1
10 31 1 2 0 2 3 4 1 1 1 551 1
10 31 1 2 0 3 1 1 2 1 2 684 1
10 31 1 2 0 4 1 1 1 1 1 412 1
10 31 1 2 0 5 1 2 2 1 2 487 1
10 31 1 2 0 6 1 1 1 1 1 487 1
10 31 1 2 0 7 3 4 2 1 2 535 1
10 31 1 2 0 8 1 2 2 1 2 421 1
10 31 1 2 0 9 3 4 2 1 2 415 1
10 31 1 2 0 10 1 1 2 1 2 490 1
10 31 1 2 1 1 1 2 1 1 1 509 1
10 31 1 2 1 2 1 1 2 1 2 508 1
10 31 1 2 1 3 1 2 1 1 1 539 1
10 31 1 2 1 4 3 4 2 1 2 441 1
10 31 1 2 1 5 3 4 2 1 2 442 1
10 31 1 2 1 6 1 2 2 1 2 396 1
10 31 1 2 1 7 1 1 2 1 2 527 1
10 31 1 2 1 8 1 1 1 1 1 525 1
10 31 1 2 1 9 1 1 2 1 2 451 1
10 31 1 2 1 10 1 2 2 1 2 445 1
10 31 1 2 1 11 1 2 1 1 1 1102 1
10 31 1 2 1 12 1 2 1 1 1 645 1
10 31 1 2 1 13 1 2 2 1 2 543 1
10 31 1 2 1 14 1 1 1 1 1 596 1
10 31 1 2 1 15 3 4 1 1 1 496 1
10 31 1 2 1 16 3 4 2 1 2 519 1
10 31 1 2 1 17 1 1 1 1 1 742 1
10 31 1 2 1 18 1 1 1 1 1 540 1
10 31 1 2 1 19 1 2 2 1 2 713 1
10 31 1 2 1 20 1 2 2 1 2 400 1
10 31 1 2 1 21 1 1 2 1 2 379 1
10 31 1 2 1 22 1 2 1 1 1 544 1
10 31 1 2 1 23 1 1 1 1 1 453 1
10 31 1 2 1 24 1 2 1 1 1 518 1
10 31 1 2 1 25 1 2 2 1 2 429 1
10 31 1 2 1 26 1 1 1 1 1 431 1
10 31 1 2 1 27 1 1 2 1 2 625 1
10 31 1 2 1 28 1 2 1 1 1 499 1
10 31 1 2 1 29 1 1 1 1 1 379 1
10 31 1 2 1 30 1 2 1 1 1 423 1
10 31 1 2 1 31 1 2 1 1 1 425 1
10 31 1 2 1 32 1 1 1 1 1 387 1
10 31 1 2 1 33 1 2 1 1 1 383 1
10 31 1 2 1 34 1 2 2 1 2 475 1
10 31 1 2 1 35 1 1 1 1 1 443 1
10 31 1 2 1 36 1 1 2 1 2 485 1
10 31 1 2 1 37 1 1 1 1 1 445 1
10 31 1 2 1 38 3 4 2 1 2 486 1
10 31 1 2 1 39 1 1 1 1 1 430 1
10 31 1 2 1 40 3 4 2 1 2 552 1
10 31 1 2 1 41 3 4 2 1 2 381 1
10 31 1 2 1 42 3 4 1 1 1 409 1
10 31 1 2 1 43 1 2 2 1 2 572 1
10 31 1 2 1 44 1 2 2 1 2 393 1
10 31 1 2 1 45 1 2 2 1 2 380 1
10 31 1 2 1 46 3 4 1 1 1 416 1
10 31 1 2 1 47 1 2 1 1 1 539 1
10 31 1 2 1 48 1 1 2 1 2 505 1
10 31 1 2 1 49 3 4 1 1 1 424 1
10 31 1 2 1 50 1 1 1 1 1 458 1
10 31 1 2 1 51 1 1 1 1 1 459 1
10 31 1 2 1 52 1 2 1 1 1 404 1
10 31 1 2 1 53 1 1 2 1 2 543 1
10 31 1 2 1 54 1 1 2 1 2 429 1
10 31 1 2 1 55 1 1 1 1 2 471 0
10 31 1 2 1 56 3 4 2 1 2 447 1
10 31 1 2 1 57 3 4 1 1 1 409 1
10 31 1 2 1 58 3 4 1 1 1 404 1
10 31 1 2 1 59 3 4 1 1 1 359 1
10 31 1 2 1 60 1 2 1 1 1 428 1
10 31 1 2 2 1 1 2 2 1 2 502 1
10 31 1 2 2 2 1 2 2 1 2 437 1
10 31 1 2 2 3 1 2 1 1 1 415 1
10 31 1 2 2 4 3 4 2 1 1 441 0
10 31 1 2 2 5 1 2 2 1 2 507 1
10 31 1 2 2 6 1 1 1 1 1 474 1
10 31 1 2 2 7 1 2 2 1 2 474 1
10 31 1 2 2 8 1 1 1 1 1 426 1
10 31 1 2 2 9 1 2 1 1 1 420 1
10 31 1 2 2 10 1 1 2 1 2 479 1
10 31 1 2 2 11 1 1 2 1 2 415 1
10 31 1 2 2 12 1 1 1 1 1 482 1
10 31 1 2 2 13 3 4 1 1 1 378 1
10 31 1 2 2 14 3 4 2 1 2 462 1
10 31 1 2 2 15 3 4 1 1 1 415 1
10 31 1 2 2 16 1 2 2 1 2 442 1
10 31 1 2 2 17 1 1 1 1 1 419 1
10 31 1 2 2 18 1 2 1 1 1 398 1
10 31 1 2 2 19 1 1 2 1 2 425 1
10 31 1 2 2 20 1 2 1 1 1 443 1
10 31 1 2 2 21 1 2 1 1 1 429 1
10 31 1 2 2 22 1 1 1 1 1 439 1
10 31 1 2 2 23 1 1 2 1 2 441 1
10 31 1 2 2 24 3 4 1 1 1 403 1
10 31 1 2 2 25 1 2 1 1 1 390 1
10 31 1 2 2 26 3 4 2 1 2 426 1
10 31 1 2 2 27 1 2 2 1 2 436 1
10 31 1 2 2 28 1 1 1 1 1 414 1
10 31 1 2 2 29 1 1 1 1 1 385 1
10 31 1 2 2 30 3 4 2 1 2 460 1
10 31 1 2 2 31 1 2 2 1 2 397 1
10 31 1 2 2 32 1 1 2 1 2 377 1
10 31 1 2 2 33 1 1 2 1 2 381 1
10 31 1 2 2 34 1 1 2 1 2 401 1
10 31 1 2 2 35 3 4 2 1 2 548 1
10 31 1 2 2 36 1 2 1 1 1 458 1
10 31 1 2 2 37 1 2 2 1 2 482 1
10 31 1 2 2 38 1 1 1 1 1 370 1
10 31 1 2 2 39 1 1 2 1 2 343 1
10 31 1 2 2 40 1 1 2 1 2 372 1
10 31 1 2 2 41 3 4 2 1 2 369 1
10 31 1 2 2 42 1 1 1 1 1 358 1
10 31 1 2 2 43 3 4 1 1 1 386 1
10 31 1 2 2 44 3 4 2 1 2 414 1
10 31 1 2 2 45 3 4 2 1 2 353 1
10 31 1 2 2 46 3 4 1 1 1 342 1
10 31 1 2 2 47 3 4 1 1 1 404 1
10 31 1 2 2 48 3 4 1 1 1 407 1
10 31 1 2 2 49 3 4 2 1 1 354 0
10 31 1 2 2 50 3 4 1 1 1 383 1
10 31 1 2 2 51 1 2 1 1 1 427 1
10 31 1 2 2 52 3 4 2 1 2 429 1
10 31 1 2 2 53 1 1 1 1 1 431 1
10 31 1 2 2 54 3 4 2 1 2 465 1
10 31 1 2 2 55 1 1 1 1 1 354 1
10 31 1 2 2 56 1 1 1 1 1 383 1
10 31 1 2 2 57 1 2 2 1 2 419 1
10 31 1 2 2 58 1 1 1 1 1 373 1
10 31 1 2 2 59 1 1 1 1 1 482 1
10 31 1 2 2 60 1 1 1 1 1 426 1
10 31 1 2 3 1 1 1 2 1 1 480 0
10 31 1 2 3 2 1 1 1 1 1 424 1
10 31 1 2 3 3 1 2 2 1 2 378 1
10 31 1 2 3 4 3 4 2 1 2 374 1
10 31 1 2 3 5 1 1 1 1 1 531 1
10 31 1 2 3 6 1 1 2 1 2 545 1
10 31 1 2 3 7 1 1 1 1 1 430 1
10 31 1 2 3 8 3 4 2 1 2 433 1
10 31 1 2 3 9 1 1 1 1 1 370 1
10 31 1 2 3 10 1 2 2 1 2 391 1
10 31 1 2 3 11 1 1 1 1 1 378 1
10 31 1 2 3 12 1 2 1 1 1 359 1
10 31 1 2 3 13 3 4 1 1 1 396 1
10 31 1 2 3 14 1 1 1 1 1 351 1
10 31 1 2 3 15 1 2 2 1 2 388 1
10 31 1 2 3 16 1 1 2 1 2 400 1
10 31 1 2 3 17 1 1 1 1 1 419 1
10 31 1 2 3 18 3 4 2 1 2 518 1
